annotation_id,recommendationid,appid,review_text_clean,voted_up,label,positive_topics,negative_topics,is_valid,invalid_reason,annotation_note,annotation_status,word_count,char_count,votes_up,weighted_vote_score,api_model,api_error,human_verified
1,31887448,352280,"WAS amazing made orchestral music for prior film... that was years ago. Wont run anymore. tried multiple machines, boot on win 95/xp/7/10 and looked for patches. nothing. :(",False,not_recommended,audio,bugs,True,,"오케스트라 음악은 audio의 긍정 평가로, 여러 기기와 윈도우 버전에서 실행되지 않는다는 내용은 bugs의 부정 평가로 판단함.",completed,28,173,1,0.52173913,gpt-5.4-mini,,True
2,105028944,1408110,"Litterally impossible, if the mom spawns behind you you're just dead and theres nothing you can do.",False,not_recommended,,difficulty_balance,True,,엄마가 뒤에서 스폰되면 대응할 수 없이 죽는다고 한 점을 난이도와 불공정한 밸런스에 대한 부정 평가로 판단함.,completed,17,99,0,0.5,gpt-5.4-mini,,True
3,176831461,1148680,it looks cool but the manual does not work and the game does not open it is a scam,False,not_recommended,graphics,"bugs,value",True,,"겉모습이 좋다는 점은 graphics의 긍정 평가로, 매뉴얼 오작동과 실행 불가는 bugs, 사기라는 평가는 value의 부정 평가로 판단함.",completed,19,82,0,0.5,gpt-5.4-mini,,True
4,109812124,1819400,I'll purely recommend this on the basis that it adds some extra flavor and content but unlike games from total war and paradox this dlc is not absurdly priced and or have game breaking mechanics added only with the dlc as well. 9 dollars for this dlc is more than fine for some new cultures and events,True,recommended,"content,value,monetization",,True,,"새로운 문화와 이벤트 추가를 content의 긍정으로, 9달러라는 가격이 괜찮다는 점을 value와 DLC가 지나치게 비싸지 않다는 점을 monetization의 긍정으로 판단함.",completed,57,301,0,0.5,gpt-5.4-mini,,True
5,70521747,1314930,"Well, I expected this game to be a bit closer to AOTTG, with any semblance on being able to actively change the length of the rope in both directions. The rope feels so unintuitive and clunky to try to work with, and really throws me off. I couldn't manage to enjoy the game primarily because of this, and even the slightest amount of rope length changing adds SO much to the intuitive sense of motion with the rope. I can't recommend it without this simple little change.",False,not_recommended,,controls,True,,로프 길이 조절이 직관적이지 않고 뻑뻑하다고 직접 언급해 controls의 부정 평가로 판단함.,completed,87,472,1,0.41348973,gpt-5.4-mini,,True
6,124432681,2178410,"awful, please do a shortcut button...its unplayable.",False,not_recommended,,controls,True,,단축 버튼이 필요하다는 말과 unplayable이라는 평가를 조작 불편 문제로 보아 controls의 부정으로 판단함.,completed,7,52,3,0.49924281,gpt-5.4-mini,,True
7,201935127,733790,"Hard to get through, and I don't mean it's because of the Papers Please mechanics.",False,not_recommended,,other,True,,게임을 이어가기 어렵다고만 하고 구체적 원인을 부정했으므로 other의 부정 평가로 판단함.,completed,15,82,0,0.5,gpt-5.4-mini,,True
8,196895415,1161370,"Very detailed illustrations throughout, and provides an insight into how certain designs changed over time. Only slight con is that, since it's presented as an actual book in pdf format, vertical scrolling doesn't work well as things will be cut off as it's supposed to be across two pages. If you're able to, use horizontal scrolling so the pages line up better with each other. Great art for a great game.",True,recommended,"graphics,content",ui_ux,True,,"세밀한 일러스트와 디자인 변천을 보여주는 점은 graphics와 content의 긍정 평가로, 세로 스크롤에서 잘리는 문제는 ui_ux의 부정 평가로 판단함.",completed,71,407,0,0.5,gpt-5.4-mini,,True
9,124740769,2129950,"Game is a great Idea the Graphics are pretty Polished but because of how new it is, it is very Dead Server Wise, so I recommend you have friends to play with, because I didn't, 8/10 might buy it again later on",True,recommended,graphics,multiplayer,True,,"그래픽이 polished하다는 점은 graphics의 긍정 평가이고, 서버가 매우 dead하다는 점은 network_server의 부정 평가이며 친구와 함께해야 한다는 언급은 multiplayer 문제로 판단함.",completed,42,209,2,0.54198474,gpt-5.4-mini,,True
10,82404271,996910,I'm with the user Tarf on this one. Definitely lacking in bunker pieces,False,not_recommended,,content,True,,bunker pieces가 부족하다는 말로 콘텐츠 양 부족에 대한 부정 평가로 판단함.,completed,13,71,1,0.52185792,gpt-5.4-mini,,True
11,201725358,238430,At the time of this review the game is not functioning at all. Freezes dead when loading in the main menu. Current Setup: CPU - Ryzen 7 7800X3D RAM - 64GB GPU - XFX RX6900 XTX OS - Win 11 Pro.,False,not_recommended,,bugs,True,,메인 메뉴 로딩 중 멈춰 전혀 작동하지 않는다고 했으므로 bugs의 부정 평가로 판단함.,completed,41,192,2,0.48900053,gpt-5.4-mini,,True
12,203187397,457760,"game's a fun tactical shooter, with scuffed movement, fields, way too open at times and an enemy armor system that often furstrated me. but overall, the game's fun and really makes you feel like a tactical mastermind at times. that being said, the polar regions map, is one I disencourage people to play, it's both too small and lacking in chackpoints. overall, yeah I'd recommend the game, but be warned, it requires concentration.",True,recommended,gameplay,"gameplay,difficulty_balance,content",True,,"전반적인 전술 슈팅의 재미와 마스터마인드 같은 느낌은 gameplay의 긍정 평가로, scuffed movement는 controls의 부정 평가로, 적 방어구 시스템의 불만은 difficulty_balance의 부정 평가로, 특정 맵의 크기와 체크포인트 부족은 content의 부정 평가로 판단함.",completed,73,432,0,0.5,gpt-5.4-mini,,True
13,34456178,659120,super super super super alpha.,False,not_recommended,,other,True,,alpha 상태라는 표현으로 게임이 미완성이고 부정적으로 평가된 것으로 판단함.,completed,5,30,2,0.49792534,gpt-5.4-mini,,True
14,168483114,2762330,BEST GAME IN THE WORLD,True,recommended,other,,True,,게임을 세계 최고라고 평가하는 전체적인 긍정 표현이지만 구체적 요소는 없어 other로 분류함.,completed,5,22,2,0.54545456,gpt-5.4-mini,,True
15,198600706,777610,"Tutorial doesnt tell you how to play besides the same thing, i mashed buttons and still couldnt play anything else, its very confusing",False,not_recommended,,"ui_ux,controls",True,,"튜토리얼이 반복적이고 매우 혼란스럽다고 한 부분은 ui_ux의 부정 평가, 버튼을 눌러도 다른 조작이 안 된다는 부분은 controls의 부정 평가로 판단함.",completed,23,134,0,0.5,gpt-5.4-mini,,True
16,76191658,1323860,City building simulator without city Pros: Simple graphic City management game (?) Cons: Only 2 tracks in OST No zoom allowed Weak production chains Sounds Gameplay loop is boring Overall: Game needs a lot more development before I would recommend it,False,not_recommended,graphics,"audio,controls,gameplay,content",True,,"Simple graphic은 graphics의 긍정 평가로, OST가 2곡뿐이고 줌이 안 되며 사운드와 게임플레이 루프가 지루하다는 점을 각각 audio, controls, gameplay의 부정 평가로 판단함.",completed,41,250,25,0.59270006,gpt-5.4-mini,,True
