recommendationid,appid,input_text,positive_topics,negative_topics,labels
29864968,444640,it is relly fun and cool so get it i hope i can get the club starter pack,"[""gameplay"", ""value""]",[],"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
197574218,3681280,"I was expecting a souls like game, but got a shitty ai generated attempt at it, and I'm being generous by saying it was an attempt.",[],"[""gameplay"", ""graphics"", ""other""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
202519132,1658040,"There's lots of these kinds of games on the market. This isn't bad. There's the usual grind for survival games but it's manageable. Plots fine. I'd be keep to see future patches or DLC! Kid friendly? - Y NSFW? - N Gore? - N Microtransactions? - N --Steam deck compatibility-- *Perfect/Nearly perfect out the box-X *Perfect after some tweaks- *Runs fine without tweaks- *Runs fine after playing with settings- *Just about Playable, even after playing with settings- *Borderline unplayable; even on lowest and/or heavily modded settings- *This game cannot be played on Steam Deck- --{ Graphics }--- *Visual Masterpiece- *Beautiful- *Good- *Unremarkable but fine-x *Noticeably bad- *Either revoltingly ugly or a glitchy mess- ---{ Gameplay }--- *Sleep? Nah play this instead- *Just a really great game to play- *A fun experience- *Some bad bits but fun overall-x *Bang average- *Good bits but lots of bad bits- *Rubbish gameplay, unfun or a dull experience - *This game so bad I made a voodoo doll of it- ---{ Audio }--- *They should win a Grammy for this- *Very good to listen to- *Good- *Meh-x *Bad and annoying- *Play on mute- ---{ Storage Size }--- *Floppy Disk- *Negligible-x *Notable but fine - *Problematic- *Delete everything then install- *Did i download the whole internet- ---{ Difficulty }--- *Just press ""X""- *Easy-x *Some challenge in places - *Starting to get tricky- *Difficult- *You will rage quit at how hard this is- ---{ Grind }--- *Zero grinding- *A little grind outside of main story- *A little grind overall- *Average grind level -x *A little tedious at times- *Play with tv on to distract from grind- *This game is a chore- ---{ Game Story }--- *Worse than Game of Thrones finale- *No Story- *Some lore- *A beginning middle and end-x *A good/fun story- *Would make a good tv show- *Oscar winner- ---{ Game Time }--- *Hour or two tops- *Short- *Average-x *Long- *A epic saga- *It never ends...- ---{ Bugs }--- *I encountered zero bugs-X *Minor bugs, easily swatted- *Some irritating bugs - *Bugs becoming a problem- *Borderline unplayable- *This game is broken- ---{ ? / 10 }--- (I review harsh. A 5 is a perfectly fine and playable and fun enough game. A 10 is a literal GOAT of a game that sets a new standard for future generation. A 1 is something so offensively bad the producers should be fired.) 1 [Worst game of all time?]- 2 [Dumpster fire]- 3 [A bad GAME- 4 [Some good but mostly bad]- 5 [An average experience] -x 6 [Fun at times]- 7 [A good game]- 8 [A great game]- 9 [Game of the Year]- 10 [Genre defining GOAT game-","[""updates_support""]","[""audio"", ""controls"", ""difficulty_balance"", ""content"", ""bugs""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75211934,999430,"I love this Santa Tracker. Always liked the one from NORAD, so this one was a must-buy for me, especially since it's not expensive. But unlike the NORAD tracker, which tells you to come back on 1. December, this one is active all through the year. Just click on ""Where is Santa"", and you can see him flying around the world, looking for items and good children, and then flies back home to read some letters, and then goes off again. It's so much more fun to be able to see something all year round, especially for someone, like me, who loves everything Christmas, and loves it all year round. :)","[""value"", ""content""]",[],"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55525468,1166490,"Pros - Nice product, especially for $2. Beautiful, gorgeous, animates nicely etc. Doesn't take up much memory. It's a great looking app and works well, generally! Cons - It does need improvement! There should be a button handy for muting/changing the sound coming from the ""Live Desktop"", muting just the apps sound - not the system sound! Of course, one can just lower the volume on his system. The software will fail to exit after prolonged use. Must use Task Manager to ""kill"" it. Some of the desktop graphics are ""glitchy"" displaying incorrectly at times - randomly. Yep, needs some more work. I hope the developer addresses these things. But, for $2! Not bad! Oh! One must allow the program to have FIREWALL access so it can download new scenery, as requested by you. I run Norton 360 so I had to temporarily disable ""Smart Firewall"", for example.","[""graphics"", ""value""]","[""bugs"", ""audio"", ""performance""]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
203031718,2670630,"Currently the game crashes repeatedly without any error prompt or crash report, making it next to impossible to troubleshoot what is making the game do so. I would wait with buying it until they fix it.",[],"[""bugs"", ""performance""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
202182486,3451440,Recommended!,[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
141070322,2451250,Pretty good. Can be completed under 2 hours.,[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
201466124,917950,"I don't remember hearing about Vellum anywhere before Steam pushed it to my recommendations, citing Roboquest as a similar title. It's a highly-competently-designed third-person roguelite shooter with a surprising amount of quality of life features and little cosmetic flourishes, some you might not even find in other quality examples of roguelite shooters. It's got up to four player coop, which you won't find in Roboquest (limited to 2 player) or Ziggurat 2, Immortal Redneck or Battle Shapers (No coop whatsoever). It's got the ability to reconnect to a multiplayer run in progress if you get dropped, which I haven't seen in ANY coop roguelites. Vellum casts the players as wizards of pen and ink, the Scribes of an endless magical library, whose tomes are gateways to worlds of fiction brought to life, but are threatened by dark creatures known as the Torn. The tomes kept in this libary act as the various rogue runs, each with unique gameplay mutators. A choice of ink color acts as your character class, providing passive abilities and modifiers to your choice of primary and secondary spells- one generates mana, and the other consumes it. Combat is of the type of rogue that I prefer, where it is balanced around your character frequently taking damage and offering various means to mitigate this- regenerating shields, stacks of damage resistance called ""Varnish"", the red ink class's lifesteal mechanic, etc. The library itself acts as a playable hub area in the vein of the Space Rig in Deep Rock Galactic or the Basecamp in Roboquest. Here you can find stations to change your equipped ink color or spells, and upgrade your ""ink level"", unlocking new passive buffs and perks, called ""inscriptions."" Customizing the appearance of your Scribe is also possible, with different helmets, robes, spellbooks and back accessories. Completing new tomes for the first time unlocks various features and interactables around the library, such as target dummies to gauge your damage output. There's even a nook set aside for each player to customize with decorations like furniture, paintings and the like. The commitment to the literary theme runs deep, with most mechanics, enemies and other elements having some kind of literary term to denote them- Enemy groups include Splices, Tangents and Ravings, the requisite roguelike perks are called ""Pages"", The yellow ink class has a critical hit mechanic referred to as ""Flourish"", the blue ink class has damage-over-time effects referred to as ""Blot"", you can get a bonus for using a specific spell and/or playing a specific tome called ""Suggested Reading,"" and so on. These terms are almost always explained adequately and an in-game help text is available for, *ahem*, further reading. Additional mutators, called ""Bindings"", can be selected before a run, offering increased combat difficulty but commeasurately increased rewards of Quillmarks and Guild coins. The former is used for purchasing new spells, inks and upgrades, while the latter is for cosmetic purchases such as helmets, robes and furnishings for your nook. There are of course, no microtransactions, but who would put those in a roguelite? Uniquely, Vellum also offers endgame raid dungeons in the various Torn realms, which as of this writing I have only scratched the surface of. Much like an actual MMO raid, they appear to require a degree of team coordination much higher then the more casual tome runs. Vellum is stylish and fun to play and I highly recommend it to any fans of shooters or action roguelites.","[""content"", ""gameplay"", ""monetization"", ""ui_ux""]",[],"[0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
203259868,3831010,i didnt got my DLC what thge fucking god,[],"[""monetization"", ""bugs""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
