recommendationid,appid,target_labels,matched_target_labels,input_text,positive_topics,negative_topics,human_keep,review_note,teacher_model,prompt_version,retrieved_examples,rare_target_human_verified,human_verified_scope,is_valid,invalid_reason
198357852,2255970,pos__bugs|pos__localization,pos__localization,"Yep, it is indeed a VN posed as an RPG. The story is simple and linear, your choices don't matter. The humor pushed me to just skip the story. One thing to praise about this game though, is that it is technically well-executed. The translation is good. The game is almost bug free (a minor one in the website tab). The BGM plays well with the text. It auto-loads and wins the previous boss fight when you reach a bad end. The combat is not tedious and plays well with the game theme. The CGs are so so, they are also re-used. I don't think the game length is worth the price, even at 50% off.","[""audio"", ""controls"", ""localization"", ""performance""]","[""story"", ""content"", ""value""]",True,,gemma3:27b,pseudo_topics_rag_v3_embedding,"[{""review"": ""Neat little boss fighting game. Quite short and easy, but worth it for the little amount of money. Would be cool if they used this as a demo for a bigger game."", ""positive_topics"": [""gameplay"", ""value""], ""negative_topics"": [""difficulty_balance"", ""content""], ""score"": 0.5849}, {""review"": ""The story, in my opinion, is too simple, but the gameplay makes a good impression. For such a small price, I recommend it."", ""positive_topics"": [""gameplay"", ""value""], ""negative_topics"": [""story""], ""score"": 0.5613}, {""review"": ""A nice little game, story oriented... Well it is a Visual Novel, so not really a \""game\"" tbh, more of an \""interactive story\"" where you can change the ending. Visuals are pretty nice and the soundtrack is really cool and chill, i really liked it ! It will take about 30min to 1hours to complete, and have Multiple endings. For its price tag, honestly, it is worth !"", ""positive_topics"": [""story"", ""graphics"", ""audio"", ""content"", ""replayability"", ""value""], ""negative_topics"": [], ""score"": 0.5609}]",True,matched_target_labels_only,True,
150475230,397930,pos__monetization,pos__monetization,Any Free DLC is a good DLC in my book.,"[""value"", ""monetization""]",[],True,,gemma3:27b,pseudo_topics_rag_v3_embedding,"[{""review"": ""I'll purely recommend this on the basis that it adds some extra flavor and content but unlike games from total war and paradox this dlc is not absurdly priced and or have game breaking mechanics added only with the dlc as well. 9 dollars for this dlc is more than fine for some new cultures and events"", ""positive_topics"": [""content"", ""value"", ""monetization""], ""negative_topics"": [], ""score"": 0.6006}, {""review"": ""Did not say it requires the other DLC to function. Will wait for a sale on that one to play this I suppose."", ""positive_topics"": [], ""negative_topics"": [""monetization""], ""score"": 0.5762}, {""review"": ""Overall the DLC is great. I like the unique characters and that the wolf character has a masked and un-masked head. The only thing is that when playing split-screen you may have to play one round for players two, three, and four to be able to use the new character types."", ""positive_topics"": [""content""], ""negative_topics"": [""bugs""], ""score"": 0.5478}]",True,matched_target_labels_only,True,
201466124,917950,pos__monetization,pos__monetization,"I don't remember hearing about Vellum anywhere before Steam pushed it to my recommendations, citing Roboquest as a similar title. It's a highly-competently-designed third-person roguelite shooter with a surprising amount of quality of life features and little cosmetic flourishes, some you might not even find in other quality examples of roguelite shooters. It's got up to four player coop, which you won't find in Roboquest (limited to 2 player) or Ziggurat 2, Immortal Redneck or Battle Shapers (No coop whatsoever). It's got the ability to reconnect to a multiplayer run in progress if you get dropped, which I haven't seen in ANY coop roguelites. Vellum casts the players as wizards of pen and ink, the Scribes of an endless magical library, whose tomes are gateways to worlds of fiction brought to life, but are threatened by dark creatures known as the Torn. The tomes kept in this libary act as the various rogue runs, each with unique gameplay mutators. A choice of ink color acts as your character class, providing passive abilities and modifiers to your choice of primary and secondary spells- one generates mana, and the other consumes it. Combat is of the type of rogue that I prefer, where it is balanced around your character frequently taking damage and offering various means to mitigate this- regenerating shields, stacks of damage resistance called ""Varnish"", the red ink class's lifesteal mechanic, etc. The library itself acts as a playable hub area in the vein of the Space Rig in Deep Rock Galactic or the Basecamp in Roboquest. Here you can find stations to change your equipped ink color or spells, and upgrade your ""ink level"", unlocking new passive buffs and perks, called ""inscriptions."" Customizing the appearance of your Scribe is also possible, with different helmets, robes, spellbooks and back accessories. Completing new tomes for the first time unlocks various features and interactables around the library, such as target dummies to gauge your damage output. There's even a nook set aside for each player to customize with decorations like furniture, paintings and the like. The commitment to the literary theme runs deep, with most mechanics, enemies and other elements having some kind of literary term to denote them- Enemy groups include Splices, Tangents and Ravings, the requisite roguelike perks are called ""Pages"", The yellow ink class has a critical hit mechanic referred to as ""Flourish"", the blue ink class has damage-over-time effects referred to as ""Blot"", you can get a bonus for using a specific spell and/or playing a specific tome called ""Suggested Reading,"" and so on. These terms are almost always explained adequately and an in-game help text is available for, *ahem*, further reading. Additional mutators, called ""Bindings"", can be selected before a run, offering increased combat difficulty but commeasurately increased rewards of Quillmarks and Guild coins. The former is used for purchasing new spells, inks and upgrades, while the latter is for cosmetic purchases such as helmets, robes and furnishings for your nook. There are of course, no microtransactions, but who would put those in a roguelite? Uniquely, Vellum also offers endgame raid dungeons in the various Torn realms, which as of this writing I have only scratched the surface of. Much like an actual MMO raid, they appear to require a degree of team coordination much higher then the more casual tome runs. Vellum is stylish and fun to play and I highly recommend it to any fans of shooters or action roguelites.","[""gameplay"", ""content"", ""ui_ux"", ""monetization""]",[],True,,gemma3:27b,pseudo_topics_rag_v3_embedding,"[{""review"": ""A very nice, very stylish, creative roguelite bullet-heaven game. The game isn't super long, took me about 6 hours to finish, would probably take about 30 more minutes for 100% of the achievements. The game has full controller support and nice accessibility options for modulating difficulty, not to mention the ability to pick your difficulty less directly within runs as well. The art is great (gives me Cowboy Bebop vibes, can't quite put my finger on why), the music is great, the story (surprised me that there was any!) is basic but touching, the gameplay is somewhat innovative (mixing Necrodancer-style rhythm-combat mechanics with Vampire Survivors-like top-down bullet-heaven combat) and is pretty fun, although it gets a little bit repetitive by the end. I hope there is a bit more exploration of unsteady rhythms if the devs ever make a next entry, there is a lot of leniency in getting 'perfect's here and after a while the consistent rhythm gets pretty second-nature, so it might be nice to see that shaken up. The game lacks polish, but not in any way that truly breaks the experience. It's mostly observed in some unintended behaviours¹, incorrect tooltips, etc. The main thing that diminishes the experience in my opinion is the lack of visual clarity on some levels and with some builds (looking at you, 'Chain projectiles'). I also think it would benefit from some more clarity on how its basic mechanics work (tagging weapons with their damage types, an option to show values in skill descriptions, etc.), the 15 tips on pause help but don't really explain everything (although with how short the experience is and with how not-that-difficult even the later stages are, you won't play for long enough for this lack of knowledge to sour your experience like it probably would in a 100+ hour game). Ah, also, for whatever reason, achievements aren't working at all for me (they don't even show up on the game's page in my library), although that might be Steam's fault. Overall, I'd recommend the game, and also wish the best for the devs in their future endeavours! ¹ = Restarting a run will start you with a random character, including ones that you have not unlocked yet (including the secret 13th, happened on my first death lol). Sometimes the solo that gets activated seems to be random if you have 3 instruments and all have full meter. Using a solo sometimes allows enemies to fire projectiles after all the existing projectiles are cleared, meaning you can get locked into getting hit since you can't move during the solo animation (died to that once :'D). You can actually move during the solo animation, as well as the post-battle \""Kill the music\"" transition, if you were ending a dodge while entering those states. On controller, pausing on the item upgrade screen will pick whatever upgrade you were hovering when the game is unpaused."", ""positive_topics"": [""gameplay"", ""graphics"", ""audio"", ""story"", ""controls"", ""accessibility""], ""negative_topics"": [""gameplay"", ""ui_ux"", ""bugs""], ""score"": 0.3968}, {""review"": ""I can't recommend this game. Honestly, it's mid! It isn't terrible, but it's also not very good. As a long time BATIM fan, this is one of the most underwhelming sequels I've ever seen. the writing is mediocre, the sound design is erratic at times, and the random lag spikes make it incredibly frustrating to navigate around the cartoon world. The game mechanics themselves are downright infuriating, not to mention the false sense that there may be multiple endings scattered around the game. The mechanic where the ink demon shows up, and you're required to hide, is VERY underwhelming and has almost no sense of actual urgency other than forcing the player to drop everything and find the nearest barrel. The fact that combat stops you from hiding is also incredibly frustrating, and caused multiple unnecessary deaths when I would get ganged up on by lost ones during an inconvenient demon appearance. The visuals and music are, as usual, very good. The consistent designs and stylistic choices are pleasant on the eyes and never get too boring. It's a gorgeous game, I'll give it that! The ending is cheesy and undeserved, it didn't feel nearly as impactful as it was implied to be. The fact that the Big Steve quest can be entirely skipped makes his appearance useless, but the fact that everyone else shows up too just makes it feel like a fix-it fic rather than the ending to a saga. TL;DR - Overall, I give it a 4/10. It's painfully mediocre, and the gameplay far overshadows any meaningful worldbuilding or lore added throughout the entire experience. I recommend watching someone else play this, or just reading the wiki, rather than purchasing it and playing it for yourself. (SPOILERS FOR THE ENDING - but seeing the little baby bendy at the end of the game DID make me squeal with joy, so actually, 10/10 flawless game no notes)"", ""positive_topics"": [""graphics"", ""audio""], ""negative_topics"": [""story"", ""gameplay"", ""performance"", ""audio""], ""score"": 0.3495}, {""review"": ""A good RPG with a Cube World Alpha vibe ( procedurally generated worlds and quests ), nice OST, beautifull graphics and an active developper who cares about the community. I absolutely recommend you to try it !"", ""positive_topics"": [""content"", ""audio"", ""graphics"", ""updates_support""], ""negative_topics"": [], ""score"": 0.323}]",True,matched_target_labels_only,True,
202651065,1371980,pos__accessibility,pos__accessibility,Endless exploration and pure Dynamic weather and the world is amazing. Glad they even added the Difficulty options in the new update.,"[""graphics"", ""gameplay"", ""accessibility""]",[],True,,gemma3:27b,pseudo_topics_rag_v3_embedding,"[{""review"": ""While the main Planet felt thought through and rich, this DLC seems rushed out and glitchy all over the place. The layout is really bad, e.g. the multi-layered approach is just not working for the game and its frustrating to navigate. And the amount of graphical errors, floating rocks, broken meshes, mismatching collider vs. graphic meshes and all the navigation problems is so high, it feels like an alpha. (There were already quite some graphic glitches on the main game planet, but this one is REALLY bad..) Also, the amount of changes to the core gameplay is rather small, so no real \""new discovery\"" here.. TL;DR; Not worth the money."", ""positive_topics"": [], ""negative_topics"": [""content"", ""ui_ux"", ""bugs"", ""gameplay"", ""value""], ""score"": 0.5}, {""review"": ""So far, I’m only playing on Beginner difficulty – the others feel a bit too challenging for me (for now). It’s a pity that multiplayer isn’t active at the moment, but I’m sure the game will be even better once it’s back! The maze-like sections and puzzles are a refreshing addition and really keep things interesting. Honestly, this might be the first platformer I actually finish 😄 Also, the price feels fair – I think it’s definitely worth it. 👍"", ""positive_topics"": [""gameplay"", ""content"", ""value""], ""negative_topics"": [""multiplayer""], ""score"": 0.4976}, {""review"": ""Apart from the beyond fantastic puzzles that captivated me instantly but the story telling is just top-tier. Easily has become one of my favorites."", ""positive_topics"": [""gameplay"", ""story""], ""negative_topics"": [], ""score"": 0.4959}]",True,matched_target_labels_only,True,
20388264,377500,pos__accessibility,pos__accessibility,"This is a nice, casual game. The game methodology is fairly straightforward. They mix up hexagonal, colored wheels, and then you put them back in order. The hexes are in color (there is a colorblind option as well that includes patterns on the hexes) and the hub of each of the wheels tells you what hex colors go there. There are also mixed colors (yellow and red = orange; blue and yellow = green; red and blue = purple). The mixed colored hexes are, as you’ve probably figured out, for where the wheels overlap. The first two puzzle rounds show you how you will solve the remainder of the puzzles, and then you go through four grades of 12 puzzles. PRO: Very easy to learn, very relaxing and enjoyable. Good graphic representation. CON: No additional downloadable puzzles. Once you’ve gone through the 48 puzzles you can go into the options menu reset so that you can run through them again, but there is not a more difficult level to put to the puzzles. I would have loved to see more combinations. Worth the money? I would say a bit high, but I would like the programmers to give me more content so I would say it is fair enough. Would I pick it up on a Steam sale? In a heartbeat!!","[""gameplay"", ""graphics"", ""accessibility""]","[""content"", ""value""]",True,,gemma3:27b,pseudo_topics_rag_v3_embedding,"[{""review"": ""the puzzles are easy and fun to figure out but the game itself looks like ass. a very short puzzle game that has good puzzles but looks terrible"", ""positive_topics"": [""gameplay""], ""negative_topics"": [""graphics""], ""score"": 0.5077}, {""review"": ""Bought it entirely for having a unique art style and I simply had not played anything like this before. I cursed at getting stuck in Hex tiles a few times, but altering mouse sensitivity a few times lead to an interesting adventure. Completed in under two hours, but plan to go many rounds in my little forest when I need a break from the headache of 3D atmospheres. My green little heart beats."", ""positive_topics"": [""graphics"", ""gameplay"", ""replayability""], ""negative_topics"": [""controls""], ""score"": 0.4825}, {""review"": ""This is a nice pixel art puzzler. Very fun to play and addictive to switch tracks. I think will keep me busy as it has many levels and is not very easy. Some more power ups would be very helpful."", ""positive_topics"": [""graphics"", ""gameplay"", ""content"", ""difficulty_balance""], ""negative_topics"": [""content""], ""score"": 0.4445}]",True,matched_target_labels_only,True,
105445848,1051920,pos__accessibility,pos__accessibility,"Played this game at Emerald City Comic Con with my two buddies and we had a blast playing. The customization for characters is great special for someone who is color blind. It even has a colorblind mode that I think is very thoughtful for colorblind gamers. Also, the randomness is great you don't know what is going to happen next so its different everytime. I love this game. Highly recommend for a fun party game!","[""accessibility"", ""gameplay"", ""replayability""]",[],True,,gemma3:27b,pseudo_topics_rag_v3_embedding,"[{""review"": ""at first look this game is quite dark and grim, plus pixataled, I am personaly not a fan of that graphic style, but the gameplay mechanics turned out to be quite fun, sometimes it really tests you reflexes, I like the challenge when there are many enemies in a row"", ""positive_topics"": [""gameplay""], ""negative_topics"": [""graphics""], ""score"": 0.5814}, {""review"": ""The game is really great. I was playing to pass the time and soon I became addicted. The game is very fluid, and the features unlocked before the game starts and between waves add extra fun to the game. Also, the game is extremely cheap, I recommend it to everyone."", ""positive_topics"": [""gameplay"", ""value""], ""negative_topics"": [], ""score"": 0.5525}, {""review"": ""Bought it entirely for having a unique art style and I simply had not played anything like this before. I cursed at getting stuck in Hex tiles a few times, but altering mouse sensitivity a few times lead to an interesting adventure. Completed in under two hours, but plan to go many rounds in my little forest when I need a break from the headache of 3D atmospheres. My green little heart beats."", ""positive_topics"": [""graphics"", ""gameplay"", ""replayability""], ""negative_topics"": [""controls""], ""score"": 0.5404}]",True,matched_target_labels_only,True,
202664640,1895880,pos__accessibility,pos__accessibility,"Ratchet & Clank: Rift Apart was a new but very exciting experience for me! It was not just my first Ratchet & Clank game but also my first third-person shooter, and because of that, I did not expect to enjoy this game anywhere as much as I did! This expectation was due to the fact that I am really not good at combat in video games as a whole and I thought this would prevent me from enjoying this game, however, R&C:RA’s great difficulty options, as well as the game not being condescending about said lower difficulties, allowed me to enjoy the game at one of the lower difficulties. I personally found every aspect of this game to just be plain fun! From the gameplay, including the game mechanics, to all the collectables (my favourite video game genre is collect-a-thon platformers after all!), to the animation (so pretty and detailed!), to the writing (I laughed out loud multiple times while playing) to even the character designs (was partial to the robots as I really enjoy robots in animated media, but I think all the character designs are interesting). If like me, you have never played a Ratchet & Clank game (or a third-person shooter for that matter) then in my personal opinion I think this game is a very good place to start. Highly recommend. 10/10","[""gameplay"", ""content"", ""graphics"", ""story"", ""accessibility""]",[],True,,gemma3:27b,pseudo_topics_rag_v3_embedding,"[{""review"": ""So far, I’m only playing on Beginner difficulty – the others feel a bit too challenging for me (for now). It’s a pity that multiplayer isn’t active at the moment, but I’m sure the game will be even better once it’s back! The maze-like sections and puzzles are a refreshing addition and really keep things interesting. Honestly, this might be the first platformer I actually finish 😄 Also, the price feels fair – I think it’s definitely worth it. 👍"", ""positive_topics"": [""gameplay"", ""content"", ""value""], ""negative_topics"": [""multiplayer""], ""score"": 0.5742}, {""review"": ""Game is really good i give it an AdventNEON thumbs up! It was really fun dashing around as fast as I could, and the boss fights really made me feel like I was in a flash Sonic animation. Sound track is also good, aside from maybe one or two tracks. Didn't really get to listen too much of it in the game because I was too busy trying to dash as fast as I could. A few minor negatives though. Nothing too crazy that spoil the game for me, though It would be nice to have them fixed or ironed out in a potential sequel. -The story itself is alright, nothing too crazy. The game is mostly focused on being, you know, a game. -Sprite are did feel a bit inconsistent, especially when some were drawn at a perspective instead of flat. -There are a couple moments that break the immersion of the game. (Characters moving stiffly on a set path, bullets being shot not lining up with the barrel, sound effect when kicking up specifically stopped playing sometimes, stuff like that.) -Some parts can feel a bit jack to play. I can't remember what specifically, but there were some minor annoyances. (I'm looking at you, gears that I get stuck in during the time stop segments.) -Would've like some of the mechanics to be explained or introduced better as most of the time you are just thrown into them. I was able to catch of pretty easily, but sometimes it took a bit to understand them. -The game is TOO SHORT I WANT TO RUN AROUND MORE. All in all, extremely impressive for a solo dev. I hope we get to see Neon more in the future. Kachow. Also I remember there being some sort of fanart thing where fanart was going to be put in the game unless I'm misremembering things. If it is I would like to redraw mine it's been 4 years. Thanks."", ""positive_topics"": [""gameplay"", ""audio"", ""story"", ""graphics""], ""negative_topics"": [""graphics"", ""audio"", ""gameplay"", ""ui_ux"", ""content""], ""score"": 0.5654}, {""review"": ""A very nice, very stylish, creative roguelite bullet-heaven game. The game isn't super long, took me about 6 hours to finish, would probably take about 30 more minutes for 100% of the achievements. The game has full controller support and nice accessibility options for modulating difficulty, not to mention the ability to pick your difficulty less directly within runs as well. The art is great (gives me Cowboy Bebop vibes, can't quite put my finger on why), the music is great, the story (surprised me that there was any!) is basic but touching, the gameplay is somewhat innovative (mixing Necrodancer-style rhythm-combat mechanics with Vampire Survivors-like top-down bullet-heaven combat) and is pretty fun, although it gets a little bit repetitive by the end. I hope there is a bit more exploration of unsteady rhythms if the devs ever make a next entry, there is a lot of leniency in getting 'perfect's here and after a while the consistent rhythm gets pretty second-nature, so it might be nice to see that shaken up. The game lacks polish, but not in any way that truly breaks the experience. It's mostly observed in some unintended behaviours¹, incorrect tooltips, etc. The main thing that diminishes the experience in my opinion is the lack of visual clarity on some levels and with some builds (looking at you, 'Chain projectiles'). I also think it would benefit from some more clarity on how its basic mechanics work (tagging weapons with their damage types, an option to show values in skill descriptions, etc.), the 15 tips on pause help but don't really explain everything (although with how short the experience is and with how not-that-difficult even the later stages are, you won't play for long enough for this lack of knowledge to sour your experience like it probably would in a 100+ hour game). Ah, also, for whatever reason, achievements aren't working at all for me (they don't even show up on the game's page in my library), although that might be Steam's fault. Overall, I'd recommend the game, and also wish the best for the devs in their future endeavours! ¹ = Restarting a run will start you with a random character, including ones that you have not unlocked yet (including the secret 13th, happened on my first death lol). Sometimes the solo that gets activated seems to be random if you have 3 instruments and all have full meter. Using a solo sometimes allows enemies to fire projectiles after all the existing projectiles are cleared, meaning you can get locked into getting hit since you can't move during the solo animation (died to that once :'D). You can actually move during the solo animation, as well as the post-battle \""Kill the music\"" transition, if you were ending a dodge while entering those states. On controller, pausing on the item upgrade screen will pick whatever upgrade you were hovering when the game is unpaused."", ""positive_topics"": [""gameplay"", ""graphics"", ""audio"", ""story"", ""controls"", ""accessibility""], ""negative_topics"": [""gameplay"", ""ui_ux"", ""bugs""], ""score"": 0.5482}]",True,matched_target_labels_only,True,
107584509,421190,neg__network_server|pos__accessibility,neg__network_server|pos__accessibility,"It's more of Paladins VR than Overwatch VR: laggy mess with barely functional matchmaking but incredibly fun to play. Larcenauts succeeds at being a hero shooter: every class is unique and feels overpowered in its own way. Current roster has 9 heroes including archer and melee brawler. The balance is not perfect, but it's a work in progress. The gameplay is fast paced constant action: grappling points and class abilities provide fast movement while objectives discourage sitting in one place for too long. However infrequent server side lags can destroy all the fun: they range from small delays and desync to huge lag spikes that render a game unplayable for up to a minute. Shooting feels arcadey but enjoyable and there a lot of accessibility settings. I especially appreciate optional button press reloading, since Reverb G2 controllers are horrible for manual reloading. Player base is not too big for a cross-platfrom game: full 6v6 matches are only possible during peak hours. The rest of the time it will be about 3-8 players in a session with empty slots filled with bots. And AI is terrible: they can barely walk without getting stuck all the time. With small play base come issues with matchmaking: in every match experienced players will be mixed with newbies making new player experience particularly painful at times. And to add insult to injury Larcenauts matchmaking can't even distribute human players between teams equally. There are a lot of 2v4, 3v5, etc and the system doesn't bother to change team distribution between matches most of the time.","[""gameplay"", ""accessibility""]","[""network_server"", ""multiplayer"", ""difficulty_balance""]",True,,gemma3:27b,pseudo_topics_rag_v3_embedding,"[{""review"": ""Haven't played much but not super impressed. This would have been impressive in the first gen of VR but it's too basic and clunky. I have VTOL and it's much better."", ""positive_topics"": [], ""negative_topics"": [""gameplay"", ""controls""], ""score"": 0.5427}, {""review"": ""I love Tetris, it is one of my all time favorite games. That said it did not translate well to VR. Even on discount I'd say pass on this one, it just plays very clunky."", ""positive_topics"": [], ""negative_topics"": [""controls"", ""value""], ""score"": 0.4972}, {""review"": ""\""Beat\"" the game in like 15 minutes it was an overall boring experience. It did the bare minimum to utilize what is special about VR, would whole heartedly not recommend."", ""positive_topics"": [], ""negative_topics"": [""gameplay"", ""content""], ""score"": 0.4961}]",True,matched_target_labels_only,True,
138040190,1253270,pos__accessibility,pos__accessibility,"I umm'd and ahh'd as to whether to review this as recommended or not for a couple of weeks after completing. I ultimately erred on the side of recommending, as the game does deserve more attention than I feel it's gotten, but the recommendation is almost conditional on doing the YOLO (which has it's own drawbacks beyond just being another stupid platformer YOLO). Further detail below. For a casual player, the experience is short-lived. You get to the end, you get your food of choice, and you're done. This takes under 2 hours for a first play through. The additional modes do little to liven the game up, adding a new gimmick that changes how the game is played in some way that ultimately just gives the same experience with a slightly different shade of paint over the top. If your goal is to 'just get to the end', I'd recommend against the game. Where the game shines though is in figuring out cycles, figuring out approaches to make consistent that which seems like some haphazard BS the first play time through. This outcome is only achieved through the YOLO (endurance mode), assuming you don't trivialise the exercise through the use of accessibility options. I love that accessibility options are there enabling everyone to play how they feel best suits their needs, but for me, they took away from the one element of the game that made it worthwhile. I ultimately came back to the game to beat it without just the intent of ticking off 'another steam hundo'. When viewed with the lens of ""I need to not die"" (rather than just getting to the end), the sections are varied, the hazards are interesting, and the platforming is... well... inconsistent. Unfortunately whilst the 'levels' are interesting, the game decides it doesn't want to behave consistently. Some plays through a full jump won't clear 2x blocks, sometimes you'll get stuck in a corner, and other times you'll get pushed back by an invisible wall (that for some reason never happened in the 10hrs you'd played previously?). I've not been so frustrated with a game before due to the game itself, rather than something attributed to my own skills. So with all these caveats.... The game is flawed, the non-YOLO challenge is limited, the price is high for the content and design compared to other games in the genre... but it's a good game. A bit unpolished, a bit janky, a bit unfulfilling as a casual player.. but at the heart of it, it's a good game.","[""accessibility"", ""gameplay""]","[""bugs"", ""controls"", ""content"", ""value""]",True,,gemma3:27b,pseudo_topics_rag_v3_embedding,"[{""review"": ""Hats off to people who have mastered this game. Think twice before plonking down money for this. Compared to just about any other card game on steam this game relies mainly on the complexity of rules as the main element instead of simple base rules mixed with complexity of card combinations. Card combos can be complex too but you will never really get there unless you invest a lot of time to figuring out the smaller details of mechanics first. Speaking of mechanics - i have done the tutorials many times but i still seem to get myself many times into situations where i don't have the slightest clue to why a certain move cannot be used when i want to. Am i not following the rules or the UI doesnt show me what i can do? i have no idea. I read some guides. lurked the forums. confusion did not clear away. 'Dont do too soon x'. 'Dont try too late y'. very interesting but so confusing. In the end i really dont care if this is the 'best game' on the block for the people who really like card games - and looking at the hours played and positive comments it does seem to be some people's favorite. Entertainmnet value and fun has already been sacrificed here so the praise this game gets from the punishment liking veterans is just lost on me. Fun is essentially zero and thus this game gets the bottom feeder position in my card game library. I am sure it doesnt belong there but i really don't see any way i can bring it up from there either with the ever tightening competition in the card games section on Steam as there ARE very good alternatives if you have played your MtG:s and want to try something else. Technically i have not found anything wrong with the game. It works without crashing and graphics are really nice. Be warned - you dont see the complexity from the trailers. only when you try to actually learn the rules and play. I actually wish i could give a neutral review for this game as i hate to trash it but since it does cost some money and it doesn't really relay the complex nature of it correctly then a negative review it is then."", ""positive_topics"": [""graphics"", ""bugs""], ""negative_topics"": [""gameplay"", ""controls"", ""ui_ux"", ""difficulty_balance"", ""value""], ""score"": 0.4813}, {""review"": ""So far, I’m only playing on Beginner difficulty – the others feel a bit too challenging for me (for now). It’s a pity that multiplayer isn’t active at the moment, but I’m sure the game will be even better once it’s back! The maze-like sections and puzzles are a refreshing addition and really keep things interesting. Honestly, this might be the first platformer I actually finish 😄 Also, the price feels fair – I think it’s definitely worth it. 👍"", ""positive_topics"": [""gameplay"", ""content"", ""value""], ""negative_topics"": [""multiplayer""], ""score"": 0.4747}, {""review"": ""Ok here is the first REAL REVIEW: I finished the game on principle alone. The only reviewer who actually finished. I still cannot recommend this game based on certain aspects. First, you will fail. This is a running joke in this game as you are forced to fail at random times. Not my style of hardcore joking? This is built around speed racers, and as I know speed racers, you die a bazillion times before you master the level. This is not my style of game play, but that's what the developers wanted to cater towards. LEVEL 44 and VARIOUS random levels: Beware this game is not like others, no previous clues will help you understand that maps are never mentioned or that guessing (getting lucky) is a skill. No, this is not. It is tedious and forces a failure. If this game was designed so you die, then memorize everything as you die, it's exhausting. This game is not forgiving. Jumping/glitching balls/ cubes etc, somethings will collide in unexpected ways. After finishing the 100 levels, jumping is not very well polished, even though you can learn to master it, if you die five billion times. You will be forced to adapt to the jumping sensitivity that is presented. USE LIGHT PRESSURE. When moving through certain mazes with jump pads, make sure to look down and stay centered on cubes as you tap lightly with a keyboard. This game can be unforgiving later on, which is a speed runner mentality in design. It's not all jumping, there are some good puzzles... and SOME of those puzzles are about 70%+ of the game. Only a small portion is truly tedious... if you can get to it... Also, the steam achievements do not work first try. I'm missing some that should have completed. Still is what it is. Rated 6/10 Price point: $5 would be what it's worth in reality."", ""positive_topics"": [""gameplay""], ""negative_topics"": [""gameplay"", ""difficulty_balance"", ""controls"", ""bugs"", ""value""], ""score"": 0.4735}]",True,matched_target_labels_only,True,
201513050,1622100,pos__accessibility,pos__accessibility,"Took me a while to get into it, mainly due to the new genre introduction. However, thanks to the accessibility options, and a small mod (BrighterDreams), I managed to get through - and I'm so glad I did. Another phenomenal story to explore with a lot of fun puzzles to try and solve!","[""accessibility"", ""story"", ""gameplay""]",[],True,,gemma3:27b,pseudo_topics_rag_v3_embedding,"[{""review"": ""Apart from the beyond fantastic puzzles that captivated me instantly but the story telling is just top-tier. Easily has become one of my favorites."", ""positive_topics"": [""gameplay"", ""story""], ""negative_topics"": [], ""score"": 0.6377}, {""review"": ""So far, I’m only playing on Beginner difficulty – the others feel a bit too challenging for me (for now). It’s a pity that multiplayer isn’t active at the moment, but I’m sure the game will be even better once it’s back! The maze-like sections and puzzles are a refreshing addition and really keep things interesting. Honestly, this might be the first platformer I actually finish 😄 Also, the price feels fair – I think it’s definitely worth it. 👍"", ""positive_topics"": [""gameplay"", ""content"", ""value""], ""negative_topics"": [""multiplayer""], ""score"": 0.5888}, {""review"": ""I enjoyed how you piece all the characters lives together to discover the story. Its an enjoyable and relaxing game."", ""positive_topics"": [""story"", ""gameplay""], ""negative_topics"": [], ""score"": 0.5884}]",True,matched_target_labels_only,True,
