label,support,predicted_count,precision,recall,f1,mean_probability
pos__accessibility,3,0,0.0,0.0,0.0,0.053741455
pos__audio,14,0,0.0,0.0,0.0,0.108292334
pos__bugs,8,0,0.0,0.0,0.0,0.08132083
pos__content,20,35,0.2571428571428571,0.45,0.32727272727272727,0.15043779
pos__controls,3,0,0.0,0.0,0.0,0.04293933
pos__difficulty_balance,3,0,0.0,0.0,0.0,0.055500153
pos__gameplay,63,122,0.5163934426229508,1.0,0.6810810810810811,0.4989664
pos__graphics,25,87,0.28735632183908044,1.0,0.44642857142857145,0.18519329
pos__localization,3,0,0.0,0.0,0.0,0.039599992
pos__monetization,8,0,0.0,0.0,0.0,0.08095
pos__multiplayer,3,0,0.0,0.0,0.0,0.049301658
pos__network_server,0,0,0.0,0.0,0.0,0.050723925
pos__other,4,0,0.0,0.0,0.0,0.04343299
pos__performance,3,0,0.0,0.0,0.0,0.05426489
pos__replayability,5,0,0.0,0.0,0.0,0.059172466
pos__story,16,16,0.3125,0.3125,0.3125,0.1321776
pos__ui_ux,3,0,0.0,0.0,0.0,0.054265227
pos__updates_support,5,0,0.0,0.0,0.0,0.055405285
pos__value,32,122,0.26229508196721313,1.0,0.4155844155844156,0.22359315
neg__accessibility,0,0,0.0,0.0,0.0,0.043174833
neg__audio,6,0,0.0,0.0,0.0,0.06139307
neg__bugs,16,17,0.23529411764705882,0.25,0.24242424242424243,0.13601232
neg__content,19,62,0.27419354838709675,0.8947368421052632,0.41975308641975306,0.16918671
neg__controls,11,0,0.0,0.0,0.0,0.09147602
neg__difficulty_balance,16,24,0.4583333333333333,0.6875,0.55,0.12895307
neg__gameplay,12,0,0.0,0.0,0.0,0.11422196
neg__graphics,6,0,0.0,0.0,0.0,0.0659113
neg__localization,6,0,0.0,0.0,0.0,0.066177376
neg__monetization,4,0,0.0,0.0,0.0,0.048202153
neg__multiplayer,3,0,0.0,0.0,0.0,0.046171118
neg__network_server,4,0,0.0,0.0,0.0,0.063284926
neg__other,4,0,0.0,0.0,0.0,0.04846866
neg__performance,9,0,0.0,0.0,0.0,0.08406748
neg__replayability,2,0,0.0,0.0,0.0,0.044787783
neg__story,5,0,0.0,0.0,0.0,0.06551829
neg__ui_ux,12,0,0.0,0.0,0.0,0.09771435
neg__updates_support,3,0,0.0,0.0,0.0,0.06154009
neg__value,16,0,0.0,0.0,0.0,0.11906688
