label,support,predicted_count,precision,recall,f1,mean_probability
pos__accessibility,3,0,0.0,0.0,0.0,0.09888824
pos__audio,14,16,0.5625,0.6428571428571429,0.6,0.16665219
pos__bugs,8,17,0.29411764705882354,0.625,0.4,0.16742195
pos__content,20,28,0.42857142857142855,0.6,0.5,0.25340337
pos__controls,3,2,0.0,0.0,0.0,0.10263817
pos__difficulty_balance,3,0,0.0,0.0,0.0,0.096008934
pos__gameplay,63,71,0.7183098591549296,0.8095238095238095,0.7611940298507462,0.46388486
pos__graphics,25,33,0.48484848484848486,0.64,0.5517241379310345,0.26251194
pos__localization,3,5,0.4,0.6666666666666666,0.5,0.08120425
pos__monetization,8,9,0.5555555555555556,0.625,0.5882352941176471,0.15796591
pos__multiplayer,3,0,0.0,0.0,0.0,0.1009767
pos__network_server,0,0,0.0,0.0,0.0,0.005747739
pos__other,4,8,0.25,0.5,0.3333333333333333,0.096125714
pos__performance,3,3,0.0,0.0,0.0,0.107182026
pos__replayability,5,4,0.0,0.0,0.0,0.14623675
pos__story,16,28,0.42857142857142855,0.75,0.5454545454545454,0.21350987
pos__ui_ux,3,0,0.0,0.0,0.0,0.09860628
pos__updates_support,5,3,0.6666666666666666,0.4,0.5,0.11483253
pos__value,32,46,0.4782608695652174,0.6875,0.5641025641025641,0.32131207
neg__accessibility,0,0,0.0,0.0,0.0,0.015624433
neg__audio,6,8,0.5,0.6666666666666666,0.5714285714285714,0.12871057
neg__bugs,16,39,0.23076923076923078,0.5625,0.32727272727272727,0.25410286
neg__content,19,35,0.42857142857142855,0.7894736842105263,0.5555555555555556,0.28494316
neg__controls,11,27,0.18518518518518517,0.45454545454545453,0.2631578947368421,0.20938939
neg__difficulty_balance,16,26,0.38461538461538464,0.625,0.47619047619047616,0.25320962
neg__gameplay,12,30,0.3,0.75,0.42857142857142855,0.23087643
neg__graphics,6,13,0.15384615384615385,0.3333333333333333,0.21052631578947367,0.15432763
neg__localization,6,11,0.36363636363636365,0.6666666666666666,0.47058823529411764,0.14279746
neg__monetization,4,4,0.25,0.25,0.25,0.13262053
neg__multiplayer,3,6,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.11166687
neg__network_server,4,4,0.75,0.75,0.75,0.1197431
neg__other,4,9,0.1111111111111111,0.25,0.15384615384615385,0.11559919
neg__performance,9,22,0.18181818181818182,0.4444444444444444,0.25806451612903225,0.19532807
neg__replayability,2,0,0.0,0.0,0.0,0.103770435
neg__story,5,13,0.3076923076923077,0.8,0.4444444444444444,0.13821483
neg__ui_ux,12,23,0.2608695652173913,0.5,0.34285714285714286,0.21516794
neg__updates_support,3,2,0.5,0.3333333333333333,0.4,0.12077081
neg__value,16,28,0.39285714285714285,0.6875,0.5,0.2549796
