label,support,predicted_count,precision,recall,f1,mean_probability
pos__accessibility,3,0,0.0,0.0,0.0,0.14023015
pos__audio,14,20,0.35,0.5,0.4117647058823529,0.22844173
pos__bugs,8,14,0.14285714285714285,0.25,0.18181818181818182,0.18687166
pos__content,20,23,0.2608695652173913,0.3,0.27906976744186046,0.294694
pos__controls,3,2,0.0,0.0,0.0,0.119363025
pos__difficulty_balance,3,0,0.0,0.0,0.0,0.14652288
pos__gameplay,63,87,0.6666666666666666,0.9206349206349206,0.7733333333333333,0.48204285
pos__graphics,25,39,0.5128205128205128,0.8,0.625,0.2945692
pos__localization,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.11097584
pos__monetization,8,7,0.2857142857142857,0.25,0.26666666666666666,0.21359698
pos__multiplayer,3,0,0.0,0.0,0.0,0.14646882
pos__network_server,0,0,0.0,0.0,0.0,0.058762494
pos__other,4,0,0.0,0.0,0.0,0.15277492
pos__performance,3,5,0.0,0.0,0.0,0.14904243
pos__replayability,5,1,0.0,0.0,0.0,0.17909127
pos__story,16,26,0.34615384615384615,0.5625,0.42857142857142855,0.25287828
pos__ui_ux,3,4,0.0,0.0,0.0,0.12830684
pos__updates_support,5,0,0.0,0.0,0.0,0.16506392
pos__value,32,61,0.39344262295081966,0.75,0.5161290322580645,0.35815832
neg__accessibility,0,0,0.0,0.0,0.0,0.063056834
neg__audio,6,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16610079
neg__bugs,16,32,0.3125,0.625,0.4166666666666667,0.25614595
neg__content,19,31,0.45161290322580644,0.7368421052631579,0.56,0.2818482
neg__controls,11,18,0.16666666666666666,0.2727272727272727,0.20689655172413793,0.22285348
neg__difficulty_balance,16,24,0.375,0.5625,0.45,0.26650742
neg__gameplay,12,26,0.2692307692307692,0.5833333333333334,0.3684210526315789,0.24553308
neg__graphics,6,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.17118949
neg__localization,6,10,0.1,0.16666666666666666,0.125,0.16549629
neg__monetization,4,0,0.0,0.0,0.0,0.15325788
neg__multiplayer,3,0,0.0,0.0,0.0,0.13579792
neg__network_server,4,3,1.0,0.75,0.8571428571428571,0.16824917
neg__other,4,0,0.0,0.0,0.0,0.1556885
neg__performance,9,16,0.125,0.2222222222222222,0.16,0.21072878
neg__replayability,2,1,0.0,0.0,0.0,0.13653055
neg__story,5,9,0.2222222222222222,0.4,0.2857142857142857,0.15140742
neg__ui_ux,12,17,0.23529411764705882,0.3333333333333333,0.27586206896551724,0.21090597
neg__updates_support,3,0,0.0,0.0,0.0,0.1640586
neg__value,16,29,0.3793103448275862,0.6875,0.4888888888888889,0.26137295
