recommendationid,appid,label,input_text,positive_topics,negative_topics,teacher_model
202858117,2552430,not_recommended,"I cannot recommend this game as it is right now and this goes for the whole trilogy. As a long-term fan of this IP, i find it very disappointing that's there is no ultra-wide support. The games itself are really good and you should play it for a well executed action combat game. No ultra-wide just kills the game for me, and it looks like there will be no fix for this, since KH:ReFined is in development hell.","[""gameplay""]","[""graphics"", ""updates_support""]",gemma3:27b
45694718,874661,not_recommended,episodes were unavailable until it comes out i fined this very disruptive in the fact that people are perchesint this for the finished produkt but insted they are geting what is the equivalent to a dLC pre release,[],"[""content"", ""monetization""]",gemma3:27b
24178404,492710,recommended,Just like the real ping pong and i love it.,"[""gameplay""]",[],gemma3:27b
87756311,1554660,recommended,The good and old Domino but now with a cute cat! This a very relaxing experience and fun as well! Recommended!,"[""gameplay"", ""value""]",[],gemma3:27b
202484100,1443200,recommended,"I really love the story, the many choices this game have to offer.","[""story"", ""content""]",[],gemma3:27b
36562152,602480,recommended,"What a very inexpensive and immediately imaginative experience. In a VR environment that is overrun by generic wave shooters, this rouge-like puzzle survival game stands out with creativity. A very twisted and quite scary experience that is in a league of it's own. Highly recommended.","[""content"", ""gameplay"", ""value""]",[],gemma3:27b
136273343,1167663,not_recommended,"Hey look they ruined (""updated"") another song!",[],"[""audio"", ""updates_support""]",gemma3:27b
109726509,1165910,not_recommended,Walk from point A to point B with limmited stamina.! Listen to dialog.! engage in mundain combat.! Wonder where all the posative revews came from! LAMENT the six dollers you spent!,[],"[""gameplay"", ""value""]",gemma3:27b
72194223,1305660,recommended,"Remedy is a quick but satisfying experience if you enjoy platforming, solving puzzles, and exploring for secrets in a visually artistic and atmospheric world. The developer has been extremely proactive and responsive to feedback, squashing the majority of the bugs on the first day and continues to improve upon the player experience. I consider Remedy's price tag to be very reasonable and is well worth the fulfilling time I had with this game.","[""content"", ""graphics"", ""updates_support"", ""value""]","[""bugs""]",gemma3:27b
53607088,491060,recommended,"Relatively simple game, but it's soooooooo good!","[""gameplay"", ""value""]",[],gemma3:27b
201477110,450540,recommended,best vr gun game ive played although the modding com isnt as good as i wish,"[""gameplay""]","[""content""]",gemma3:27b
201612958,1108370,recommended,Bunch of rats,[],"[""other""]",gemma3:27b
198309136,3462950,recommended,"I loved the cute demo and I am really enjoying the game. Clearly its a $5 game. You arent looking at a AAA feature here. Its a cute little basic simulator. I love that it becomes possible to not have to micro manage the food all day. I enjoy all the new things they have added. I WISH there was a way to lock certain things in place, rename people and building but maybe there is a future there. I had to force myself to close it in order to get other things done in my life","[""gameplay"", ""content"", ""value""]","[""ui_ux""]",gemma3:27b
51017947,496670,not_recommended,Absolute garbage. I guarantee you no one involved in making this game actually played a second of it.,[],"[""gameplay"", ""other""]",gemma3:27b
202843931,1244460,recommended,"solid game, mods make my guests scream in terror, the trex go brrrr and the velocoraptors gangbang stuff","[""gameplay"", ""replayability""]",[],gemma3:27b
201307389,366250,recommended,"The game is great, it's a little fun, and the co-op mode is cool.","[""gameplay"", ""multiplayer""]",[],gemma3:27b
201414976,1205970,not_recommended,Most arcade racer AI: rubberbands MX vs ATV Legends AI: straight-up kills you,[],"[""gameplay"", ""difficulty_balance""]",gemma3:27b
123542683,2137200,recommended,"EDIT: While initially I didn't recommend, I do think the game is good and I was a bit too harsh. The game has potential, is updated regularly, and the developer is receptive to input. That is all anyone could ask for in a game. Something that I forgot to mention was that the gameplay loop is relatively quick, which I think is a strength. Games take 5-10 minutes each and are a good way to kill time. Also, the recent update made the black holes much more manageable. Big win in my eyes as it felt like an auto loss before when they spawned I look forward to where the game goes. ------------------ Novi Cube is a neat concept but suffers from poor execution. The level up mechanic is flawed. You pick one of three random traits offered and have the option to reroll for a ""token"", something you get for clearing bosses. However, a bunch of these traits are useless. Projectile size does basically nothing. Explosive tiles are ineffective against bosses. There is a very clear meta that forms as you attempt higher difficulties. I find myself taking the same upgrades every time because everything else just doesn't have the damage. Not only that but the black hole enemy sucks out all the fun you might have. It exerts gravity, eats your shots and is invulnerable so you are essentially helpless if it spawns. It doesn't even give you anything if you survive it. God help you if the game decides to position you right under it, you will never be able to break any tiles. Did I forget to mention that you can't even control where you shoot from?","[""updates_support"", ""gameplay""]","[""difficulty_balance"", ""controls"", ""content""]",gemma3:27b
100694222,1520480,recommended,"excellent , just an excellent worthy DLC that madea huge good improvements for the game !! you will love it","[""content"", ""gameplay""]",[],gemma3:27b
95551511,525210,not_recommended,"This is one of those VR games where when you first start it up, you think it could be pretty cool. That is, if you get past being stuck in the intro loading screen. But when you really get into the gameplay, you realize just how bad it really is. There are only four levels in this game they all look EXACTLY the same, which is a confusing maze of dark empty dull corridors. There is also an issue with the enemies because they all zigzag quickly towards you if you are seen. You then end up firing arrows at point blank range because they are always right up in your face. There is also no way to manually save the game and you can only take a few hits from their extremely accurate arrow shots or hits from a sword until you die. So you are then forced to restart the entire level. This game has all the indications of an early VR game that has been abandoned by the developer. There are much better archery VR options out there such as In Death, QuiVR, Lone Archer, and Wrath of the Fire God.",[],"[""content"", ""gameplay"", ""graphics"", ""difficulty_balance"", ""performance"", ""updates_support""]",gemma3:27b
